Điều,Chủ đề,Khoản,Nội dung,Tóm tắt,Thời gian,Bộ luật
4,Giải thích từ ngữ,6,"Chứng quyền có bảo đảm là loại chứng khoán có tài sản bảo đảm do công ty chứng khoán phát hành, cho phép người sở hữu được quyền mua (chứng quyền mua) hoặc được quyền bán (chứng quyền bán) chứng khoán cơ sở với tổ chức phát hành chứng quyền có bảo đảm đó theo mức giá đã được xác định trước, tại một thời điểm hoặc trước một thời điểm đã được ấn định hoặc nhận khoản tiền chênh lệch giữa giá thực hiện và giá chứng khoán cơ sở tại thời điểm thực hiện.","Chứng quyền có bảo đảm là loại chứng khoán có tài sản bảo đảm do công ty chứng khoán phát hành, cho phép người sở hữu được quyền mua (chứng quyền mua) hoặc được quyền bán (chứng quyền bán) chứng khoán cơ sở với tổ chức phát hành chứng quyền có bảo đảm đó theo mức giá đã được xác định trước, tại một thời điểm hoặc trước một thời điểm đã được ấn định hoặc nhận khoản tiền chênh lệch giữa giá thực hiện và giá chứng khoán cơ sở tại thời điểm thực hiện",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,7,Quyền mua cổ phần là loại chứng khoán do công ty cổ phần phát hành nhằm mang lại cho cổ đông hiện hữu quyền được mua cổ phần mới theo điều kiện đã được xác định.,Quyền mua cổ phần là loại chứng khoán do công ty cổ phần phát hành nhằm mang lại cho cổ đông hiện hữu quyền được mua cổ phần mới theo điều kiện đã được xác định,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,8,Chứng chỉ lưu ký là loại chứng khoán được phát hành trên cơ sở chứng khoán của tổ chức được thành lập và hoạt động hợp pháp tại Việt Nam.,Chứng chỉ lưu ký là loại chứng khoán được phát hành trên cơ sở chứng khoán của tổ chức được thành lập và hoạt động hợp pháp tại Việt Nam,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,9,"Chứng khoán phái sinh là công cụ tài chính dưới dạng hợp đồng, bao gồm hợp đồng quyền chọn, hợp đồng tương lai, hợp đồng kỳ hạn, trong đó xác nhận quyền, nghĩa vụ của các bên đối với việc thanh toán tiền, chuyển giao số lượng tài sản cơ sở nhất định theo mức giá đã được xác định trong khoảng thời gian hoặc vào ngày đã xác định trong tương lai.","Chứng khoán phái sinh là công cụ tài chính dưới dạng hợp đồng, bao gồm hợp đồng quyền chọn, hợp đồng tương lai, hợp đồng kỳ hạn, trong đó xác nhận quyền, nghĩa vụ của các bên đối với việc thanh toán tiền, chuyển giao số lượng tài sản cơ sở nhất định theo mức giá đã được xác định trong khoảng thời gian hoặc vào ngày đã xác định trong tương lai",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,10,"Tài sản cơ sở của chứng khoán phái sinh (sau đây gọi là tài sản cơ sở) là chứng khoán, chỉ số chứng khoán hoặc tài sản khác theo quy định của Chính phủ được sử dụng làm cơ sở để xác định giá trị chứng khoán phái sinh.","Tài sản cơ sở của chứng khoán phái sinh (sau đây gọi là tài sản cơ sở) là chứng khoán, chỉ số chứng khoán hoặc tài sản khác theo quy định của Chính phủ được sử dụng làm cơ sở để xác định giá trị chứng khoán phái sinh",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,11,"Hợp đồng quyền chọn là loại chứng khoán phái sinh, xác nhận quyền của người mua và nghĩa vụ của người bán để thực hiện một trong các giao dịch sau đây:
a) Mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá thực hiện đã được xác định tại thời điểm trước hoặc vào ngày đã xác định trong tương lai;
b) Thanh toán khoản chênh lệch giữa giá trị tài sản cơ sở đã được xác định tại thời điểm giao kết hợp đồng và giá trị tài sản cơ sở tại thời điểm trước hoặc vào ngày đã xác định trong tương lai.","Hợp đồng quyền chọn là loại chứng khoán phái sinh, xác nhận quyền của người mua và nghĩa vụ của người bán để thực hiện một trong các giao dịch sau đây:
a) Mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá thực hiện đã được xác định tại thời điểm trước hoặc vào ngày đã xác định trong tương lai;
b) Thanh toán khoản chênh lệch giữa giá trị tài sản cơ sở đã được xác định tại thời điểm giao kết hợp đồng và giá trị tài sản cơ sở tại thời điểm trước hoặc vào ngày đã xác định trong tương lai",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,12,"Hợp đồng tương lai là loại chứng khoán phái sinh niêm yết, xác nhận cam kết giữa các bên để thực hiện một trong các giao dịch sau đây:
a) Mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá đã được xác định vào ngày đã xác định trong tương lai;
b) Thanh toán khoản chênh lệch giữa giá trị tài sản cơ sở đã được xác định tại thời điểm giao kết hợp đồng và giá trị tài sản cơ sở vào ngày đã xác định trong tương lai.","Hợp đồng tương lai là loại chứng khoán phái sinh niêm yết, xác nhận cam kết giữa các bên để thực hiện một trong các giao dịch sau đây:
a) Mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá đã được xác định vào ngày đã xác định trong tương lai;
b) Thanh toán khoản chênh lệch giữa giá trị tài sản cơ sở đã được xác định tại thời điểm giao kết hợp đồng và giá trị tài sản cơ sở vào ngày đã xác định trong tương lai",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,13,"Hợp đồng kỳ hạn là loại chứng khoán phái sinh giao dịch thỏa thuận, xác nhận cam kết giữa các bên về việc mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá đã được xác định vào ngày đã xác định trong tương lai.","Hợp đồng kỳ hạn là loại chứng khoán phái sinh giao dịch thỏa thuận, xác nhận cam kết giữa các bên về việc mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá đã được xác định vào ngày đã xác định trong tương lai",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,14,"Hoạt động về chứng khoán và thị trường chứng khoán bao gồm hoạt động chào bán, niêm yết, giao dịch, kinh doanh, đầu tư chứng khoán, cung cấp dịch vụ về chứng khoán, công bố thông tin, quản trị công ty đại chúng và các hoạt động khác được quy định tại Luật này.","Hoạt động về chứng khoán và thị trường chứng khoán bao gồm hoạt động chào bán, niêm yết, giao dịch, kinh doanh, đầu tư chứng khoán, cung cấp dịch vụ về chứng khoán, công bố thông tin, quản trị công ty đại chúng và các hoạt động khác được quy định tại Luật này",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,15,"Đầu tư chứng khoán là việc mua, bán, nắm giữ chứng khoán của nhà đầu tư trên thị trường chứng khoán.","Đầu tư chứng khoán là việc mua, bán, nắm giữ chứng khoán của nhà đầu tư trên thị trường chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,16,"Nhà đầu tư là tổ chức, cá nhân tham gia đầu tư trên thị trường chứng khoán.","Nhà đầu tư là tổ chức, cá nhân tham gia đầu tư trên thị trường chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,17,"Nhà đầu tư chiến lược là nhà đầu tư được Đại hội đồng cổ đông lựa chọn theo các tiêu chí về năng lực tài chính, trình độ công nghệ và có cam kết hợp tác với công ty trong thời gian ít nhất 03 năm.","Nhà đầu tư chiến lược là nhà đầu tư được Đại hội đồng cổ đông lựa chọn theo các tiêu chí về năng lực tài chính, trình độ công nghệ và có cam kết hợp tác với công ty trong thời gian ít nhất 03 năm",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,18,Cổ đông lớn là cổ đông sở hữu từ 5% trở lên số cổ phiếu có quyền biểu quyết của một tổ chức phát hành.,Cổ đông lớn là cổ đông sở hữu từ 5% trở lên số cổ phiếu có quyền biểu quyết của một tổ chức phát hành,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,19,"Chào bán chứng khoán ra công chúng là việc chào bán chứng khoán theo một trong các phương thức sau đây:
a) Chào bán thông qua phương tiện thông tin đại chúng;
b) Chào bán cho từ 100 nhà đầu tư trở lên, không kể nhà đầu tư chứng khoán chuyên nghiệp;
c) Chào bán cho các nhà đầu tư không xác định.","Chào bán chứng khoán ra công chúng là việc chào bán chứng khoán theo một trong các phương thức sau đây:
a) Chào bán thông qua phương tiện thông tin đại chúng;
b) Chào bán cho từ 100 nhà đầu tư trở lên, không kể nhà đầu tư chứng khoán chuyên nghiệp;
c) Chào bán cho các nhà đầu tư không xác định",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,20,"Chào bán chứng khoán riêng lẻ là việc chào bán chứng khoán không thuộc trường hợp quy định tại điểm a khoản 19 Điều này và theo một trong các phương thức sau đây:
a) Chào bán cho dưới 100 nhà đầu tư, không kể nhà đầu tư chứng khoán chuyên nghiệp;
b) Chỉ chào bán cho nhà đầu tư chứng khoán chuyên nghiệp.","Chào bán chứng khoán riêng lẻ là việc chào bán chứng khoán không thuộc trường hợp quy định tại điểm a khoản 19 Điều này và theo một trong các phương thức sau đây:
a) Chào bán cho dưới 100 nhà đầu tư, không kể nhà đầu tư chứng khoán chuyên nghiệp;
b) Chỉ chào bán cho nhà đầu tư chứng khoán chuyên nghiệp",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,21,"Tổ chức phát hành là tổ chức thực hiện chào bán, phát hành chứng khoán.","Tổ chức phát hành là tổ chức thực hiện chào bán, phát hành chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,22,Tổ chức kiểm toán được chấp thuận là tổ chức kiểm toán độc lập thuộc danh sách các tổ chức kiểm toán được Ủy ban Chứng khoán Nhà nước chấp thuận kiểm toán theo quy định của Luật này và pháp luật về kiểm toán độc lập.,Tổ chức kiểm toán được chấp thuận là tổ chức kiểm toán độc lập thuộc danh sách các tổ chức kiểm toán được Ủy ban Chứng khoán Nhà nước chấp thuận kiểm toán theo quy định của Luật này và pháp luật về kiểm toán độc lập,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,23,"Bản cáo bạch là tài liệu hoặc dữ liệu điện tử công khai những thông tin chính xác, trung thực, khách quan liên quan đến việc chào bán hoặc niêm yết chứng khoán của tổ chức phát hành.","Bản cáo bạch là tài liệu hoặc dữ liệu điện tử công khai những thông tin chính xác, trung thực, khách quan liên quan đến việc chào bán hoặc niêm yết chứng khoán của tổ chức phát hành",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,24,Niêm yết chứng khoán là việc đưa chứng khoán có đủ điều kiện niêm yết vào giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết.,Niêm yết chứng khoán là việc đưa chứng khoán có đủ điều kiện niêm yết vào giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,25,Đăng ký giao dịch là việc đưa chứng khoán vào giao dịch trên hệ thống giao dịch cho chứng khoán chưa niêm yết.,Đăng ký giao dịch là việc đưa chứng khoán vào giao dịch trên hệ thống giao dịch cho chứng khoán chưa niêm yết,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,26,"Hệ thống giao dịch chứng khoán bao gồm hệ thống giao dịch cho chứng khoán niêm yết và hệ thống giao dịch cho chứng khoán chưa niêm yết, do Sở giao dịch chứng khoán Việt Nam và công ty con của Sở giao dịch chứng khoán Việt Nam (sau đây gọi là Sở giao dịch chứng khoán Việt Nam và công ty con) tổ chức, vận hành.","Hệ thống giao dịch chứng khoán bao gồm hệ thống giao dịch cho chứng khoán niêm yết và hệ thống giao dịch cho chứng khoán chưa niêm yết, do Sở giao dịch chứng khoán Việt Nam và công ty con của Sở giao dịch chứng khoán Việt Nam (sau đây gọi là Sở giao dịch chứng khoán Việt Nam và công ty con) tổ chức, vận hành",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,27,"Thị trường giao dịch chứng khoán là địa điểm hoặc hình thức trao đổi thông tin để tập hợp lệnh mua, bán và giao dịch chứng khoán.","Thị trường giao dịch chứng khoán là địa điểm hoặc hình thức trao đổi thông tin để tập hợp lệnh mua, bán và giao dịch chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,28,"Kinh doanh chứng khoán là việc thực hiện nghiệp vụ môi giới chứng khoán, tự doanh chứng khoán, bảo lãnh phát hành chứng khoán, tư vấn đầu tư chứng khoán, quản lý quỹ đầu tư chứng khoán, quản lý danh mục đầu tư chứng khoán và cung cấp dịch vụ về chứng khoán theo quy định tại Điều 86 của Luật này.","Kinh doanh chứng khoán là việc thực hiện nghiệp vụ môi giới chứng khoán, tự doanh chứng khoán, bảo lãnh phát hành chứng khoán, tư vấn đầu tư chứng khoán, quản lý quỹ đầu tư chứng khoán, quản lý danh mục đầu tư chứng khoán và cung cấp dịch vụ về chứng khoán theo quy định tại Điều 86 của Luật này",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,29,"Môi giới chứng khoán là việc làm trung gian thực hiện mua, bán chứng khoán cho khách hàng.","Môi giới chứng khoán là việc làm trung gian thực hiện mua, bán chứng khoán cho khách hàng",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,30,"Tự doanh chứng khoán là việc công ty chứng khoán mua, bán chứng khoán cho chính mình.","Tự doanh chứng khoán là việc công ty chứng khoán mua, bán chứng khoán cho chính mình",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,31,Bảo lãnh phát hành chứng khoán là việc cam kết với tổ chức phát hành nhận mua một phần hoặc toàn bộ chứng khoán của tổ chức phát hành để bán lại hoặc mua số chứng khoán còn lại chưa được phân phối hết hoặc cố gắng tối đa để phân phối số chứng khoán cần phát hành của tổ chức phát hành.,Bảo lãnh phát hành chứng khoán là việc cam kết với tổ chức phát hành nhận mua một phần hoặc toàn bộ chứng khoán của tổ chức phát hành để bán lại hoặc mua số chứng khoán còn lại chưa được phân phối hết hoặc cố gắng tối đa để phân phối số chứng khoán cần phát hành của tổ chức phát hành,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,32,"Tư vấn đầu tư chứng khoán là việc cung cấp cho khách hàng kết quả phân tích, báo cáo phân tích và đưa ra khuyến nghị liên quan đến việc mua, bán, nắm giữ chứng khoán.","Tư vấn đầu tư chứng khoán là việc cung cấp cho khách hàng kết quả phân tích, báo cáo phân tích và đưa ra khuyến nghị liên quan đến việc mua, bán, nắm giữ chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,33,"Đăng ký chứng khoán là việc ghi nhận thông tin về tổ chức phát hành, chứng khoán của tổ chức phát hành và người sở hữu chứng khoán.","Đăng ký chứng khoán là việc ghi nhận thông tin về tổ chức phát hành, chứng khoán của tổ chức phát hành và người sở hữu chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,34,"Lưu ký chứng khoán là việc nhận ký gửi, bảo quản, chuyển giao chứng khoán cho khách hàng, giúp khách hàng thực hiện các quyền liên quan đến chứng khoán lưu ký.","Lưu ký chứng khoán là việc nhận ký gửi, bảo quản, chuyển giao chứng khoán cho khách hàng, giúp khách hàng thực hiện các quyền liên quan đến chứng khoán lưu ký",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,35,"Quản lý danh mục đầu tư chứng khoán là hoạt động quản lý theo ủy thác của từng nhà đầu tư trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của nhà đầu tư.","Quản lý danh mục đầu tư chứng khoán là hoạt động quản lý theo ủy thác của từng nhà đầu tư trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của nhà đầu tư",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,36,"Quản lý quỹ đầu tư chứng khoán là hoạt động quản lý trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của quỹ đầu tư chứng khoán.","Quản lý quỹ đầu tư chứng khoán là hoạt động quản lý trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của quỹ đầu tư chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,37,"Quỹ đầu tư chứng khoán là quỹ hình thành từ vốn góp của nhà đầu tư với mục đích thu lợi nhuận từ việc đầu tư vào chứng khoán hoặc vào các tài sản khác, kể cả bất động sản, trong đó nhà đầu tư không có quyền kiểm soát hằng ngày đối với việc ra quyết định đầu tư của quỹ.","Quỹ đầu tư chứng khoán là quỹ hình thành từ vốn góp của nhà đầu tư với mục đích thu lợi nhuận từ việc đầu tư vào chứng khoán hoặc vào các tài sản khác, kể cả bất động sản, trong đó nhà đầu tư không có quyền kiểm soát hằng ngày đối với việc ra quyết định đầu tư của quỹ",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,38,Quỹ đại chúng là quỹ đầu tư chứng khoán thực hiện chào bán chứng chỉ quỹ ra công chúng.,Quỹ đại chúng là quỹ đầu tư chứng khoán thực hiện chào bán chứng chỉ quỹ ra công chúng,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,39,Quỹ mở là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng phải được mua lại theo yêu cầu của nhà đầu tư.,Quỹ mở là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng phải được mua lại theo yêu cầu của nhà đầu tư,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,40,Quỹ đóng là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng không được mua lại theo yêu cầu của nhà đầu tư.,Quỹ đóng là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng không được mua lại theo yêu cầu của nhà đầu tư,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,41,Quỹ thành viên là quỹ đầu tư chứng khoán có số thành viên tham gia góp vốn từ 02 đến 99 thành viên và chỉ bao gồm thành viên là nhà đầu tư chứng khoán chuyên nghiệp.,Quỹ thành viên là quỹ đầu tư chứng khoán có số thành viên tham gia góp vốn từ 02 đến 99 thành viên và chỉ bao gồm thành viên là nhà đầu tư chứng khoán chuyên nghiệp,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,42,"Quỹ hoán đổi danh mục là quỹ mở hình thành từ việc tiếp nhận, hoán đổi danh mục chứng khoán cơ cấu lấy chứng chỉ quỹ. Chứng chỉ quỹ hoán đổi danh mục được niêm yết và giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết.",Chứng chỉ quỹ hoán đổi danh mục được niêm yết và giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,43,Quỹ đầu tư bất động sản là quỹ đầu tư chứng khoán được đầu tư chủ yếu vào bất động sản và chứng khoán của tổ chức phát hành là tổ chức kinh doanh bất động sản có doanh thu từ việc sở hữu và kinh doanh bất động sản tối thiểu là 65% tổng doanh thu tính trên báo cáo tài chính năm gần nhất.,Quỹ đầu tư bất động sản là quỹ đầu tư chứng khoán được đầu tư chủ yếu vào bất động sản và chứng khoán của tổ chức phát hành là tổ chức kinh doanh bất động sản có doanh thu từ việc sở hữu và kinh doanh bất động sản tối thiểu là 65% tổng doanh thu tính trên báo cáo tài chính năm gần nhất,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,44,"Thông tin nội bộ là thông tin liên quan đến công ty đại chúng, tổ chức niêm yết, tổ chức đăng ký giao dịch, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng chưa được công bố mà nếu được công bố có thể ảnh hưởng lớn đến giá chứng khoán của tổ chức này.","Thông tin nội bộ là thông tin liên quan đến công ty đại chúng, tổ chức niêm yết, tổ chức đăng ký giao dịch, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng chưa được công bố mà nếu được công bố có thể ảnh hưởng lớn đến giá chứng khoán của tổ chức này",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,45,"Người nội bộ là người giữ vị trí quan trọng trong bộ máy quản trị, điều hành của doanh nghiệp, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng, bao gồm:
a) Người nội bộ của doanh nghiệp là Chủ tịch Hội đồng quản trị hoặc Chủ tịch Hội đồng thành viên hoặc Chủ tịch công ty, thành viên Hội đồng quản trị hoặc thành viên Hội đồng thành viên, người đại diện theo pháp luật, Tổng giám đốc (Giám đốc), Phó Tổng giám đốc (Phó Giám đốc), Giám đốc tài chính, Kế toán trưởng và các chức danh quản lý tương đương do Đại hội đồng cổ đông bầu hoặc Hội đồng quản trị hoặc Hội đồng thành viên hoặc Chủ tịch công ty bổ nhiệm; Trưởng Ban kiểm soát và thành viên Ban kiểm soát (Kiểm soát viên), thành viên Ban kiểm toán nội bộ; thư ký công ty, người phụ trách quản trị công ty, người được ủy quyền công bố thông tin;
b) Người nội bộ của quỹ đại chúng hoặc công ty đầu tư chứng khoán đại chúng là thành viên Ban đại diện quỹ đại chúng, thành viên Hội đồng quản trị công ty đầu tư chứng khoán đại chúng, người điều hành quỹ đại chúng, người điều hành công ty đầu tư chứng khoán đại chúng, người nội bộ của công ty quản lý quỹ đầu tư chứng khoán.","Người nội bộ là người giữ vị trí quan trọng trong bộ máy quản trị, điều hành của doanh nghiệp, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng, bao gồm:
a) Người nội bộ của doanh nghiệp là Chủ tịch Hội đồng quản trị hoặc Chủ tịch Hội đồng thành viên hoặc Chủ tịch công ty, thành viên Hội đồng quản trị hoặc thành viên Hội đồng thành viên, người đại diện theo pháp luật, Tổng giám đốc (Giám đốc), Phó Tổng giám đốc (Phó Giám đốc), Giám đốc tài chính, Kế toán trưởng và các chức danh quản lý tương đương do Đại hội đồng cổ đông bầu hoặc Hội đồng quản trị hoặc Hội đồng thành viên hoặc Chủ tịch công ty bổ nhiệm; Trưởng Ban kiểm soát và thành viên Ban kiểm soát (Kiểm soát viên), thành viên Ban kiểm toán nội bộ; thư ký công ty, người phụ trách quản trị công ty, người được ủy quyền công bố thông tin;
b) Người nội bộ của quỹ đại chúng hoặc công ty đầu tư chứng khoán đại chúng là thành viên Ban đại diện quỹ đại chúng, thành viên Hội đồng quản trị công ty đầu tư chứng khoán đại chúng, người điều hành quỹ đại chúng, người điều hành công ty đầu tư chứng khoán đại chúng, người nội bộ của công ty quản lý quỹ đầu tư chứng khoán",2019,Luật số 54/2019/QH14
