Điều,Chủ đề,Khoản,Nội dung,Tóm tắt,Thời gian,Bộ luật
4,Giải thích từ ngữ,23,"Bản cáo bạch là tài liệu hoặc dữ liệu điện tử công khai những thông tin chính xác, trung thực, khách quan liên quan đến việc chào bán hoặc niêm yết chứng khoán của tổ chức phát hành.","Bản cáo bạch là tài liệu hoặc dữ liệu điện tử công khai những thông tin chính xác, trung thực, khách quan liên quan đến việc chào bán hoặc niêm yết chứng khoán của tổ chức phát hành",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,24,Niêm yết chứng khoán là việc đưa chứng khoán có đủ điều kiện niêm yết vào giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết.,Niêm yết chứng khoán là việc đưa chứng khoán có đủ điều kiện niêm yết vào giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,25,Đăng ký giao dịch là việc đưa chứng khoán vào giao dịch trên hệ thống giao dịch cho chứng khoán chưa niêm yết.,Đăng ký giao dịch là việc đưa chứng khoán vào giao dịch trên hệ thống giao dịch cho chứng khoán chưa niêm yết,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,26,"Hệ thống giao dịch chứng khoán bao gồm hệ thống giao dịch cho chứng khoán niêm yết và hệ thống giao dịch cho chứng khoán chưa niêm yết, do Sở giao dịch chứng khoán Việt Nam và công ty con của Sở giao dịch chứng khoán Việt Nam (sau đây gọi là Sở giao dịch chứng khoán Việt Nam và công ty con) tổ chức, vận hành.","Hệ thống giao dịch chứng khoán bao gồm giao dịch chứng khoán niêm yết và chưa niêm yết, do Sở giao dịch chứng khoán Việt Nam và công ty con tổ chức và vận hành.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,27,"Thị trường giao dịch chứng khoán là địa điểm hoặc hình thức trao đổi thông tin để tập hợp lệnh mua, bán và giao dịch chứng khoán.","Thị trường giao dịch chứng khoán là địa điểm hoặc hình thức trao đổi thông tin để tập hợp lệnh mua, bán và giao dịch chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,28,"Kinh doanh chứng khoán là việc thực hiện nghiệp vụ môi giới chứng khoán, tự doanh chứng khoán, bảo lãnh phát hành chứng khoán, tư vấn đầu tư chứng khoán, quản lý quỹ đầu tư chứng khoán, quản lý danh mục đầu tư chứng khoán và cung cấp dịch vụ về chứng khoán theo quy định tại Điều 86 của Luật này.","Kinh doanh chứng khoán gồm các nghiệp vụ: môi giới, tự doanh, bảo lãnh phát hành, tư vấn đầu tư, quản lý quỹ, quản lý danh mục và cung cấp dịch vụ chứng khoán theo Điều 86 Luật Chứng khoán.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,29,"Môi giới chứng khoán là việc làm trung gian thực hiện mua, bán chứng khoán cho khách hàng.","Môi giới chứng khoán là việc làm trung gian thực hiện mua, bán chứng khoán cho khách hàng",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,30,"Tự doanh chứng khoán là việc công ty chứng khoán mua, bán chứng khoán cho chính mình.","Tự doanh chứng khoán là việc công ty chứng khoán mua, bán chứng khoán cho chính mình",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,31,Bảo lãnh phát hành chứng khoán là việc cam kết với tổ chức phát hành nhận mua một phần hoặc toàn bộ chứng khoán của tổ chức phát hành để bán lại hoặc mua số chứng khoán còn lại chưa được phân phối hết hoặc cố gắng tối đa để phân phối số chứng khoán cần phát hành của tổ chức phát hành.,"Bảo lãnh phát hành chứng khoán là cam kết nhận mua một phần hoặc toàn bộ chứng khoán của tổ chức phát hành, bán lại hoặc phân phối số còn lại, nhằm đảm bảo tối đa việc phát hành thành công.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,32,"Tư vấn đầu tư chứng khoán là việc cung cấp cho khách hàng kết quả phân tích, báo cáo phân tích và đưa ra khuyến nghị liên quan đến việc mua, bán, nắm giữ chứng khoán.","Tư vấn đầu tư chứng khoán là việc cung cấp cho khách hàng kết quả phân tích, báo cáo phân tích và đưa ra khuyến nghị liên quan đến việc mua, bán, nắm giữ chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,33,"Đăng ký chứng khoán là việc ghi nhận thông tin về tổ chức phát hành, chứng khoán của tổ chức phát hành và người sở hữu chứng khoán.","Đăng ký chứng khoán là việc ghi nhận thông tin về tổ chức phát hành, chứng khoán của tổ chức phát hành và người sở hữu chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,34,"Lưu ký chứng khoán là việc nhận ký gửi, bảo quản, chuyển giao chứng khoán cho khách hàng, giúp khách hàng thực hiện các quyền liên quan đến chứng khoán lưu ký.","Lưu ký chứng khoán là việc nhận ký gửi, bảo quản, chuyển giao chứng khoán cho khách hàng, giúp khách hàng thực hiện các quyền liên quan đến chứng khoán lưu ký",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,35,"Quản lý danh mục đầu tư chứng khoán là hoạt động quản lý theo ủy thác của từng nhà đầu tư trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của nhà đầu tư.","Quản lý danh mục đầu tư chứng khoán là hoạt động quản lý theo ủy thác của từng nhà đầu tư trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của nhà đầu tư",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,36,"Quản lý quỹ đầu tư chứng khoán là hoạt động quản lý trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của quỹ đầu tư chứng khoán.","Quản lý quỹ đầu tư chứng khoán là hoạt động quản lý trong việc mua, bán, nắm giữ chứng khoán và các tài sản khác của quỹ đầu tư chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,37,"Quỹ đầu tư chứng khoán là quỹ hình thành từ vốn góp của nhà đầu tư với mục đích thu lợi nhuận từ việc đầu tư vào chứng khoán hoặc vào các tài sản khác, kể cả bất động sản, trong đó nhà đầu tư không có quyền kiểm soát hằng ngày đối với việc ra quyết định đầu tư của quỹ.","Quỹ đầu tư chứng khoán là quỹ từ vốn góp của nhà đầu tư để đầu tư sinh lợi vào chứng khoán hoặc tài sản khác, trong đó nhà đầu tư không kiểm soát trực tiếp quyết định đầu tư hàng ngày.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,38,Quỹ đại chúng là quỹ đầu tư chứng khoán thực hiện chào bán chứng chỉ quỹ ra công chúng.,Quỹ đại chúng là quỹ đầu tư chứng khoán thực hiện chào bán chứng chỉ quỹ ra công chúng,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,39,Quỹ mở là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng phải được mua lại theo yêu cầu của nhà đầu tư.,Quỹ mở là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng phải được mua lại theo yêu cầu của nhà đầu tư,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,40,Quỹ đóng là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng không được mua lại theo yêu cầu của nhà đầu tư.,Quỹ đóng là quỹ đại chúng mà chứng chỉ quỹ đã chào bán ra công chúng không được mua lại theo yêu cầu của nhà đầu tư,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,41,Quỹ thành viên là quỹ đầu tư chứng khoán có số thành viên tham gia góp vốn từ 02 đến 99 thành viên và chỉ bao gồm thành viên là nhà đầu tư chứng khoán chuyên nghiệp.,Quỹ thành viên là quỹ đầu tư chứng khoán có số thành viên tham gia góp vốn từ 02 đến 99 thành viên và chỉ bao gồm thành viên là nhà đầu tư chứng khoán chuyên nghiệp,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,42,"Quỹ hoán đổi danh mục là quỹ mở hình thành từ việc tiếp nhận, hoán đổi danh mục chứng khoán cơ cấu lấy chứng chỉ quỹ. Chứng chỉ quỹ hoán đổi danh mục được niêm yết và giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết.",Chứng chỉ quỹ hoán đổi danh mục được niêm yết và giao dịch trên hệ thống giao dịch cho chứng khoán niêm yết,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,43,Quỹ đầu tư bất động sản là quỹ đầu tư chứng khoán được đầu tư chủ yếu vào bất động sản và chứng khoán của tổ chức phát hành là tổ chức kinh doanh bất động sản có doanh thu từ việc sở hữu và kinh doanh bất động sản tối thiểu là 65% tổng doanh thu tính trên báo cáo tài chính năm gần nhất.,"Quỹ đầu tư bất động sản là quỹ đầu tư chứng khoán chủ yếu vào bất động sản và chứng khoán của tổ chức kinh doanh bất động sản, với doanh thu từ bất động sản ≥65% tổng doanh thu năm gần nhất.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,44,"Thông tin nội bộ là thông tin liên quan đến công ty đại chúng, tổ chức niêm yết, tổ chức đăng ký giao dịch, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng chưa được công bố mà nếu được công bố có thể ảnh hưởng lớn đến giá chứng khoán của tổ chức này.","Thông tin nội bộ là thông tin liên quan đến công ty đại chúng, tổ chức niêm yết, tổ chức đăng ký giao dịch, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng chưa được công bố mà nếu được công bố có thể ảnh hưởng lớn đến giá chứng khoán của tổ chức này",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,45,"Người nội bộ là người giữ vị trí quan trọng trong bộ máy quản trị, điều hành của doanh nghiệp, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng, bao gồm:
a) Người nội bộ của doanh nghiệp là Chủ tịch Hội đồng quản trị hoặc Chủ tịch Hội đồng thành viên hoặc Chủ tịch công ty, thành viên Hội đồng quản trị hoặc thành viên Hội đồng thành viên, người đại diện theo pháp luật, Tổng giám đốc (Giám đốc), Phó Tổng giám đốc (Phó Giám đốc), Giám đốc tài chính, Kế toán trưởng và các chức danh quản lý tương đương do Đại hội đồng cổ đông bầu hoặc Hội đồng quản trị hoặc Hội đồng thành viên hoặc Chủ tịch công ty bổ nhiệm; Trưởng Ban kiểm soát và thành viên Ban kiểm soát (Kiểm soát viên), thành viên Ban kiểm toán nội bộ; thư ký công ty, người phụ trách quản trị công ty, người được ủy quyền công bố thông tin;
b) Người nội bộ của quỹ đại chúng hoặc công ty đầu tư chứng khoán đại chúng là thành viên Ban đại diện quỹ đại chúng, thành viên Hội đồng quản trị công ty đầu tư chứng khoán đại chúng, người điều hành quỹ đại chúng, người điều hành công ty đầu tư chứng khoán đại chúng, người nội bộ của công ty quản lý quỹ đầu tư chứng khoán.","Người nội bộ là người giữ vị trí quan trọng trong quản trị, điều hành doanh nghiệp, quỹ đại chúng, công ty đầu tư chứng khoán đại chúng.
Bao gồm: Chủ tịch, thành viên HĐQT/HĐTV, Tổng giám đốc, Phó TGĐ, Giám đốc tài chính, Kế toán trưởng, trưởng/ thành viên Ban kiểm soát, Ban kiểm toán nội bộ, thư ký công ty, người phụ trách quản trị, người công bố thông tin.
Đối với quỹ đại chúng và công ty đầu tư chứng khoán: thành viên Ban đại diện, HĐQT, người điều hành quỹ/công ty, người nội bộ công ty quản lý quỹ.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,46,"Người có liên quan là cá nhân hoặc tổ chức có quan hệ với nhau trong các trường hợp sau đây:
a) Doanh nghiệp và người nội bộ của doanh nghiệp đó; quỹ đại chúng, công ty đầu tư chứng khoán đại chúng và người nội bộ của quỹ đại chúng hoặc công ty đầu tư chứng khoán đại chúng đó;
b) Doanh nghiệp và tổ chức, cá nhân sở hữu trên 10% số cổ phiếu có quyền biểu quyết hoặc vốn góp của doanh nghiệp đó;
c) Tổ chức, cá nhân mà trong mối quan hệ với tổ chức, cá nhân khác trực tiếp, gián tiếp kiểm soát hoặc bị kiểm soát bởi tổ chức, cá nhân đó hoặc cùng với tổ chức, cá nhân đó chịu chung một sự kiểm soát;
d) Cá nhân và bố đẻ, mẹ đẻ, bố nuôi, mẹ nuôi, bố chồng, mẹ chồng, bố vợ, mẹ vợ, vợ, chồng, con đẻ, con nuôi, con dâu, con rể, anh ruột, chị ruột, em ruột, anh rể, em rể, chị dâu, em dâu của cá nhân đó;
đ) Công ty quản lý quỹ đầu tư chứng khoán và các quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán do công ty quản lý quỹ đầu tư chứng khoán đó quản lý;
e) Quan hệ hợp đồng trong đó một tổ chức, cá nhân là đại diện cho tổ chức, cá nhân kia;
g) Tổ chức, cá nhân khác là người có liên quan theo quy định của Luật Doanh nghiệp.","Người có liên quan là cá nhân hoặc tổ chức có quan hệ nhất định với nhau.

Bao gồm: doanh nghiệp và người nội bộ; quỹ/công ty đầu tư chứng khoán và người nội bộ; cổ đông sở hữu >10% cổ phần.

Quan hệ kiểm soát trực tiếp/gián tiếp, chung kiểm soát, quan hệ gia đình, quan hệ quản lý quỹ với các quỹ/công ty đầu tư, quan hệ đại diện hợp đồng, và các trường hợp khác theo Luật Doanh nghiệp.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,47,"Người hành nghề chứng khoán là người được Ủy ban Chứng khoán Nhà nước cấp chứng chỉ hành nghề chứng khoán và làm việc tại công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh công ty chứng khoán nước ngoài tại Việt Nam và chi nhánh công ty quản lý quỹ nước ngoài tại Việt Nam (sau đây gọi là chi nhánh công ty chứng khoán và công ty quản lý quỹ nước ngoài tại Việt Nam), công ty đầu tư chứng khoán.","Người hành nghề chứng khoán là cá nhân được Ủy ban Chứng khoán Nhà nước cấp chứng chỉ và làm việc tại công ty chứng khoán, công ty quản lý quỹ, chi nhánh công ty chứng khoán/quỹ nước ngoài, hoặc công ty đầu tư chứng khoán tại Việt Nam.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,48,"Tổ chức niêm yết, tổ chức đăng ký giao dịch là tổ chức có chứng khoán phát hành được niêm yết hoặc đăng ký giao dịch trên hệ thống giao dịch chứng khoán.","Tổ chức niêm yết, tổ chức đăng ký giao dịch là tổ chức có chứng khoán phát hành được niêm yết hoặc đăng ký giao dịch trên hệ thống giao dịch chứng khoán",2019,Luật số 54/2019/QH14
5,Nguyên tắc hoạt động về chứng khoán và thị trường chứng khoán,1,"Tôn trọng quyền sở hữu, quyền khác đối với tài sản trong hoạt động về chứng khoán và thị trường chứng khoán; quyền tự do giao dịch, đầu tư, kinh doanh và cung cấp dịch vụ về chứng khoán của tổ chức, cá nhân.","Tôn trọng quyền sở hữu, quyền khác đối với tài sản trong hoạt động về chứng khoán và thị trường chứng khoán; quyền tự do giao dịch, đầu tư, kinh doanh và cung cấp dịch vụ về chứng khoán của tổ chức, cá nhân",2019,Luật số 54/2019/QH14
5,Nguyên tắc hoạt động về chứng khoán và thị trường chứng khoán,2,"Công bằng, công khai, minh bạch.","Công bằng, công khai, minh bạch",2019,Luật số 54/2019/QH14
5,Nguyên tắc hoạt động về chứng khoán và thị trường chứng khoán,3,Bảo vệ quyền và lợi ích hợp pháp của nhà đầu tư.,Bảo vệ quyền và lợi ích hợp pháp của nhà đầu tư,2019,Luật số 54/2019/QH14
